time,temperature_c,precipitation_mm,windspeed_kmh,ingested_at
2026-04-03T00:00,23.9,0.0,2.6,2026-04-03T01:32:22.137946
2026-04-03T01:00,23.6,0.0,2.4,2026-04-03T01:32:22.137969
2026-04-03T02:00,23.3,0.0,2.0,2026-04-03T01:32:22.137971
2026-04-03T03:00,23.1,0.0,2.3,2026-04-03T01:32:22.137972
2026-04-03T04:00,22.8,0.0,2.5,2026-04-03T01:32:22.137973
2026-04-03T05:00,22.5,0.0,2.7,2026-04-03T01:32:22.137974
2026-04-03T06:00,22.3,0.0,2.2,2026-04-03T01:32:22.137975
2026-04-03T07:00,22.2,0.0,1.9,2026-04-03T01:32:22.137975
2026-04-03T08:00,23.6,0.0,1.1,2026-04-03T01:32:22.137976
2026-04-03T09:00,25.6,0.0,2.4,2026-04-03T01:32:22.137977
2026-04-03T10:00,27.4,0.0,3.6,2026-04-03T01:32:22.137978
2026-04-03T11:00,29.0,0.0,6.2,2026-04-03T01:32:22.137979
2026-04-03T12:00,30.0,0.0,9.4,2026-04-03T01:32:22.137980
2026-04-03T13:00,30.9,0.0,8.9,2026-04-03T01:32:22.137981
2026-04-03T14:00,31.3,0.0,7.7,2026-04-03T01:32:22.137981
2026-04-03T15:00,31.6,0.0,6.6,2026-04-03T01:32:22.137982
2026-04-03T16:00,31.4,0.0,7.1,2026-04-03T01:32:22.137983
2026-04-03T17:00,30.8,0.0,6.9,2026-04-03T01:32:22.137984
2026-04-03T18:00,30.2,0.0,6.2,2026-04-03T01:32:22.137985
2026-04-03T19:00,29.2,0.2,5.2,2026-04-03T01:32:22.137986
2026-04-03T20:00,28.5,0.0,4.4,2026-04-03T01:32:22.137987
2026-04-03T21:00,28.0,0.0,4.1,2026-04-03T01:32:22.137988
2026-04-03T22:00,27.7,0.0,3.6,2026-04-03T01:32:22.137988
2026-04-03T23:00,27.5,0.0,3.9,2026-04-03T01:32:22.137989
2026-04-04T00:00,27.3,0.0,3.3,2026-04-03T01:32:22.137990
2026-04-04T01:00,27.1,0.0,2.3,2026-04-03T01:32:22.137991
2026-04-04T02:00,26.8,0.0,1.1,2026-04-03T01:32:22.137992
2026-04-04T03:00,26.4,0.1,0.7,2026-04-03T01:32:22.137993
2026-04-04T04:00,26.2,0.0,1.5,2026-04-03T01:32:22.137994
2026-04-04T05:00,25.8,0.0,3.1,2026-04-03T01:32:22.137995
2026-04-04T06:00,25.5,0.0,4.0,2026-04-03T01:32:22.137995
2026-04-04T07:00,25.4,0.0,4.0,2026-04-03T01:32:22.137996
2026-04-04T08:00,26.2,0.0,5.6,2026-04-03T01:32:22.137997
2026-04-04T09:00,26.8,0.0,10.7,2026-04-03T01:32:22.137998
2026-04-04T10:00,27.5,0.2,9.0,2026-04-03T01:32:22.137999
2026-04-04T11:00,28.5,0.0,7.6,2026-04-03T01:32:22.138000
2026-04-04T12:00,29.7,0.0,6.9,2026-04-03T01:32:22.138001
2026-04-04T13:00,30.2,0.0,7.1,2026-04-03T01:32:22.138002
2026-04-04T14:00,30.6,0.1,8.7,2026-04-03T01:32:22.138003
2026-04-04T15:00,30.2,0.2,7.9,2026-04-03T01:32:22.138003
2026-04-04T16:00,30.2,0.1,6.7,2026-04-03T01:32:22.138004
2026-04-04T17:00,29.9,0.1,4.9,2026-04-03T01:32:22.138005
